dataset,image,question_index,question_type,question_text,correct_answer,model_answer,is_correct,raw_output
MVTec-AD,MVTec-AD/bottle/test/broken_large/009.png,4,Defect Analysis,There is a defect in the object. How does the defect compare to the normal sample?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/010.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/010.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/010.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,D,False,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/010.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/010.png,5,Defect Analysis,There is a defect in the object. What can be inferred about the defect's effect on the bottle?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/011.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/011.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/011.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/011.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/011.png,5,Defect Analysis,There is a defect in the object. What is the likely cause of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/012.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/012.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/012.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/012.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/012.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the object?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/013.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/013.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/013.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/013.png,4,Defect Analysis,There is a defect in the object. What impact does the defect have on the object?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/014.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/014.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/014.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/014.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/015.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/015.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/015.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/015.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/015.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the bottle's appearance?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/016.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/016.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/016.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/016.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/017.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/017.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/017.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/018.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/018.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/018.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/018.png,4,Defect Analysis,There is a defect in the object. What is the effect of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/019.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/019.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/019.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/019.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/019.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the bottle?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/000.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/000.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/001.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/001.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the appearance of the bottle?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/002.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/002.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/002.png,4,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/003.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/003.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/003.png,4,Defect Analysis,There is a defect in the object. How does the defect affect the bottle's appearance?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/004.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/004.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/004.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/004.png,4,Defect Analysis,There is a defect in the object. What effect does the defect have?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/005.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/005.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/005.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/005.png,4,Defect Analysis,There is a defect in the object. What effect does the defect have on the bottle's opening?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/006.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/006.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/006.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/006.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/006.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the appearance of the object?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/007.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/007.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/007.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/007.png,4,Defect Analysis,There is a defect in the object. How does the defect affect the object's appearance?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/008.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/008.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/008.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/008.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,D,False,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/008.png,5,Defect Analysis,There is a defect in the object. How does the defect area compare to the rest of the rim?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/009.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/009.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/009.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/009.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/009.png,5,Defect Analysis,There is a defect in the object. How does the defect affect the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/010.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/010.png,2,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/010.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/010.png,4,Defect Analysis,There is a defect in the object. How does the defect affect the object's appearance?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/011.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/011.png,2,Defect Localization,There is a defect in the object. Where is the defect?,C,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/011.png,3,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's appearance?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/012.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/012.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/012.png,3,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/013.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/013.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/013.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/013.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/014.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/014.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/014.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/014.png,4,Defect Analysis,There is a defect in the object. How does the defect contrast with the surrounding area?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/015.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/015.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/015.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/015.png,4,Defect Analysis,There is a defect in the object. How does the defect affect the object?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/016.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/016.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/016.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/016.png,4,Defect Analysis,There is a defect in the object. What could be the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/017.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/017.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/017.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/017.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/017.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's appearance?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/018.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/018.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,C,False,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/018.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/018.png,4,Defect Analysis,There is a defect in the object. What effect does the defect have on the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/019.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/019.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/019.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_small/019.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/019.png,5,Defect Analysis,There is a defect in the object. What does the defect suggest about the bottle's rim?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/020.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/020.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/020.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/020.png,4,Defect Analysis,There is a defect in the object. How does the defect contrast with the rest of the bottle's inner surface?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/021.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_small/021.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_small/021.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_small/021.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/000.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/contamination/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/contamination/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/contamination/001.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/001.png,3,Defect Localization,There is a defect in the object. Where is the defect?,C,A,False,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/contamination/001.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,D,False,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/contamination/001.png,5,Defect Analysis,There is a defect in the object. What does the defect indicate?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/002.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/contamination/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/contamination/002.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/contamination/002.png,4,Defect Analysis,There is a defect in the object. What could be the effect of this defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/contamination/003.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
